Year,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0,,
electricity (BTU),1765843979290.1538,1765843979290.1538,1854798573278.5903,1852615745373.7563,1869690873858.6577,1887472009853.6453,1911425377995.075,1937010937597.7476,1971509825956.3975,2007846380087.9211,2039878950383.3413,2073711701852.8254,2105766000835.5293,2139489383031.108,2164118221381.9849,2190166830298.647,2209648589106.238,2230297210742.3164,2251958876263.8003,2273913992850.1035,2296201586454.6772,2318547218947.9805,2339030392651.5874,2359699017836.0317,2380788030135.093,2402041634353.622,2423710131974.4185,2445560565884.041,2468403821488.7705,2491436079752.621,2513805203847.61,2536329885570.662,,
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
natural gas (BTU),3500118317374.207,3500118317374.207,3500118317374.207,3522088278360.78,3544509019821.6313,3568089839601.4434,3593296067186.5063,3620913698947.288,3650690397354.851,3682075420716.5503,3714078207300.5483,3747084706101.577,3781027380803.468,3815076458974.921,3848971108504.6313,3883736579622.582,3919684293817.269,3956778000510.7944,3994179812721.7905,4031663032022.8096,4068980128736.451,4106073539542.599,4139006778050.672,4172101704830.3555,4205483614744.2856,4239252848739.804,4273457293004.0254,4308102069814.9,4343236038177.607,4378823587303.933,4414905339596.782,4451506461283.103,,
petroleum diesel (BTU),28465522.410671238,28465522.410671238,28465522.410671238,27382296.37554245,26056507.499672454,24616703.53491778,23192923.086014915,21901755.40972024,20821019.5691543,19987460.409865595,19399445.222487956,19036424.745964564,18858259.63324357,18814008.259425845,18858441.155669477,18962644.95269348,19103732.4877942,19266059.590140503,19437041.58681339,19611620.528616916,19786531.022763602,19960461.71223736,20116625.985418208,20273966.59805472,20433176.446829814,20594806.280751362,20759125.58005425,20925991.090867136,21095557.849600535,21267569.575686634,21442123.946384814,21619354.925136577,,
heat (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
biomass (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
kerosene (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
LPG propane or butane (BTU),327940899471.2966,327940899471.2966,327940899471.2966,324157072006.17255,321771928007.4046,320581027651.75775,320344980762.19977,320876693911.4991,321984933934.86975,323517486015.3369,325315189320.8201,327365507705.19604,329623570401.2043,331983005928.9947,334386693311.18665,336878831656.5014,339469434565.6394,342157198841.7507,344877523589.59845,347615357545.0041,350352860034.7962,353087317047.1417,356046888954.253,359011723130.8578,361990012580.1425,364988819568.17456,368011840758.5346,371061716294.19855,374142883759.7783,377254414599.68774,380400868200.529,383585161044.00323,,
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
