Year,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
electricity (BTU),1.369E+12,1.377E+12,1.384E+12,1.391E+12,1.397E+12,1.403E+12,1.409E+12,1.416E+12,1.423E+12,1.431E+12,1.439E+12,1.448E+12,1.458E+12,1.468E+12,1.479E+12,1.491E+12,1.503E+12,1.517E+12,1.531E+12,1.545E+12,1.559E+12,1.574E+12,1.585E+12,1.597E+12,1.609E+12,1.620E+12,1.632E+12,1.644E+12,1.656E+12,1.668E+12,1.681E+12,1.693E+12,,
coal (BTU),3.358E+03,3.402E+03,3.445E+03,3.488E+03,3.529E+03,3.569E+03,3.611E+03,3.652E+03,3.693E+03,3.734E+03,3.772E+03,3.811E+03,3.848E+03,3.885E+03,3.919E+03,3.953E+03,3.986E+03,4.020E+03,4.052E+03,4.085E+03,4.117E+03,4.148E+03,4.175E+03,4.202E+03,4.227E+03,4.254E+03,4.279E+03,4.305E+03,4.330E+03,4.356E+03,4.381E+03,4.407E+03,,
natural gas (BTU),6.678E+12,6.728E+12,6.773E+12,6.814E+12,6.850E+12,6.882E+12,6.915E+12,6.949E+12,6.984E+12,7.018E+12,7.049E+12,7.083E+12,7.117E+12,7.151E+12,7.186E+12,7.224E+12,7.262E+12,7.308E+12,7.356E+12,7.408E+12,7.463E+12,7.520E+12,7.551E+12,7.586E+12,7.622E+12,7.661E+12,7.702E+12,7.745E+12,7.789E+12,7.835E+12,7.880E+12,7.926E+12,,
petroleum diesel (BTU),3.159E+10,3.187E+10,3.211E+10,3.230E+10,3.245E+10,3.253E+10,3.256E+10,3.252E+10,3.238E+10,3.212E+10,3.168E+10,3.110E+10,3.036E+10,2.948E+10,2.847E+10,2.735E+10,2.613E+10,2.486E+10,2.355E+10,2.223E+10,2.091E+10,1.961E+10,1.829E+10,1.705E+10,1.589E+10,1.483E+10,1.387E+10,1.304E+10,1.232E+10,1.172E+10,1.124E+10,1.086E+10,,
heat (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
biomass (BTU),5.524E+11,5.566E+11,5.605E+11,5.640E+11,5.671E+11,5.700E+11,5.731E+11,5.763E+11,5.796E+11,5.829E+11,5.860E+11,5.893E+11,5.927E+11,5.963E+11,6.001E+11,6.040E+11,6.081E+11,6.130E+11,6.181E+11,6.237E+11,6.293E+11,6.352E+11,6.386E+11,6.421E+11,6.452E+11,6.482E+11,6.509E+11,6.536E+11,6.563E+11,6.591E+11,6.619E+11,6.649E+11,,
kerosene (BTU),3.223E+09,3.246E+09,3.270E+09,3.293E+09,3.315E+09,3.338E+09,3.362E+09,3.385E+09,3.408E+09,3.430E+09,3.450E+09,3.470E+09,3.489E+09,3.508E+09,3.525E+09,3.541E+09,3.557E+09,3.574E+09,3.591E+09,3.608E+09,3.625E+09,3.642E+09,3.664E+09,3.686E+09,3.708E+09,3.730E+09,3.751E+09,3.774E+09,3.795E+09,3.817E+09,3.838E+09,3.861E+09,,
heavy or residual fuel oil (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
LPG propane or butane (BTU),6.642E+11,6.651E+11,6.668E+11,6.692E+11,6.722E+11,6.757E+11,6.802E+11,6.855E+11,6.915E+11,6.982E+11,7.050E+11,7.126E+11,7.204E+11,7.283E+11,7.360E+11,7.434E+11,7.504E+11,7.576E+11,7.644E+11,7.711E+11,7.776E+11,7.841E+11,7.875E+11,7.912E+11,7.950E+11,7.992E+11,8.034E+11,8.079E+11,8.123E+11,8.170E+11,8.215E+11,8.262E+11,,
hydrogen (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
